team,seasonStartYear,gameNumber,outcome,winOdds,loseOdds
"Washington Wizards",2017,45,0,+108,-128
"Portland Trail Blazers",2017,44,1,-625,+465
"Phoenix Suns",2017,45,0,+465,-625
"Denver Nuggets",2017,44,1,-250,+204
"Dallas Mavericks",2017,45,0,+204,-250
"Boston Celtics",2017,45,0,-227,+188
"New Orleans Pelicans",2017,43,1,+188,-227
"Orlando Magic",2017,44,1,+304,-385
"Minnesota Timberwolves",2017,46,0,-385,+304
"Los Angeles Clippers",2017,43,1,+168,-200
"Houston Rockets",2017,42,0,-200,+168
"Utah Jazz",2017,43,0,-196,+167
"Indiana Pacers",2017,44,1,+167,-196
"Cleveland Cavaliers",2017,43,0,+195,-238
"Golden State Warriors",2017,45,1,-238,+195
"Oklahoma City Thunder",2017,44,1,-909,+632
"Sacramento Kings",2017,43,0,+632,-909
"Memphis Grizzlies",2017,42,1,-167,+143
"Los Angeles Lakers",2017,43,0,+143,-167
"Chicago Bulls",2017,44,1,-119,+100
"Miami Heat",2017,43,0,+100,-119
"Atlanta Hawks",2017,43,1,+188,-227
"San Antonio Spurs",2017,45,0,-227,+188
"Brooklyn Nets",2017,44,0,-164,+138
"New York Knicks",2017,44,1,+138,-164
"Washington Wizards",2017,44,0,-217,+179
"Milwaukee Bucks",2017,43,1,+179,-217
"Philadelphia 76ers",2017,40,1,+108,-128
"Toronto Raptors",2017,42,0,-128,+108
"Detroit Pistons",2017,42,0,-147,+123
"Charlotte Hornets",2017,42,1,+123,-147
"Minnesota Timberwolves",2017,45,1,-250,+206
"Portland Trail Blazers",2017,43,0,+206,-250
"Phoenix Suns",2017,44,0,+138,-161
"Indiana Pacers",2017,43,1,-161,+138
"New York Knicks",2017,43,0,+112,-133
"New Orleans Pelicans",2017,42,1,-133,+112
"Miami Heat",2017,42,1,-127,+106
"Milwaukee Bucks",2017,42,0,+106,-127
"San Antonio Spurs",2017,44,1,-323,+260
"Denver Nuggets",2017,43,0,+260,-323
"Chicago Bulls",2017,43,1,-102,-115
"Detroit Pistons",2017,41,0,-115,-102
"Toronto Raptors",2017,41,0,+188,-227
"Golden State Warriors",2017,44,1,-227,+188
"Washington Wizards",2017,43,1,-476,+368
"Brooklyn Nets",2017,43,0,+368,-476
"Charlotte Hornets",2017,41,0,+110,-132
"Oklahoma City Thunder",2017,43,1,-132,+110
"Los Angeles Clippers",2017,42,1,-286,+235
"Sacramento Kings",2017,42,0,+235,-286
"Dallas Mavericks",2017,44,0,-189,+159
"Los Angeles Lakers",2017,42,1,+159,-189
"Phoenix Suns",2017,43,0,+236,-294
"Houston Rockets",2017,41,1,-294,+236
"Denver Nuggets",2017,42,1,-270,+222
"Memphis Grizzlies",2017,41,0,+222,-270
"Milwaukee Bucks",2017,41,0,+165,-196
"Golden State Warriors",2017,43,1,-196,+165
"Minnesota Timberwolves",2017,44,1,-435,+334
"New York Knicks",2017,42,0,+334,-435
"New Orleans Pelicans",2017,41,1,-169,+144
"Portland Trail Blazers",2017,42,0,+144,-169
"Atlanta Hawks",2017,42,0,-154,+131
"Brooklyn Nets",2017,42,1,+131,-154
"Charlotte Hornets",2017,40,1,-185,+158
"Utah Jazz",2017,42,0,+158,-185
"Indiana Pacers",2017,42,1,+104,-123
"Cleveland Cavaliers",2017,42,0,-123,+104
"Washington Wizards",2017,42,1,-714,+501
"Orlando Magic",2017,43,0,+501,-714
"Los Angeles Lakers",2017,41,1,+116,-137
"San Antonio Spurs",2017,43,0,-137,+116
"Sacramento Kings",2017,41,0,+144,-172
"Los Angeles Clippers",2017,41,1,-172,+144
"Toronto Raptors",2017,40,1,+120,-143
"Cleveland Cavaliers",2017,41,0,-143,+120
"Philadelphia 76ers",2017,39,0,+110,-132
"Boston Celtics",2017,44,1,-132,+110
"Golden State Warriors",2017,42,0,-909,+624
"Los Angeles Clippers",2017,40,1,+624,-909
"Denver Nuggets",2017,41,0,-455,+353
"Atlanta Hawks",2017,41,1,+353,-455
"Houston Rockets",2017,40,1,-294,+240
"Portland Trail Blazers",2017,41,0,+240,-294
"Memphis Grizzlies",2017,40,1,-111,-106
"New Orleans Pelicans",2017,40,0,-106,-111
"Milwaukee Bucks",2017,40,1,-625,+454
"Orlando Magic",2017,42,0,+454,-625
"Minnesota Timberwolves",2017,43,1,-192,+162
"Oklahoma City Thunder",2017,42,0,+162,-192
"Brooklyn Nets",2017,41,0,+110,-132
"Detroit Pistons",2017,40,1,-132,+110
"New York Knicks",2017,41,0,-204,+171
"Chicago Bulls",2017,42,1,+171,-204
"Charlotte Hornets",2017,39,0,-278,+225
"Dallas Mavericks",2017,43,1,+225,-278
"Indiana Pacers",2017,41,0,-196,+164
"Miami Heat",2017,41,1,+164,-196
"Washington Wizards",2017,41,0,-357,+281
"Utah Jazz",2017,41,1,+281,-357
"Los Angeles Lakers",2017,40,1,-370,+288
"Sacramento Kings",2017,40,0,+288,-370
"Dallas Mavericks",2017,42,1,-303,+242
"Orlando Magic",2017,41,0,+242,-303
"Oklahoma City Thunder",2017,41,0,-357,+286
"Portland Trail Blazers",2017,40,1,+286,-357
"Toronto Raptors",2017,39,0,-179,+152
"Miami Heat",2017,40,1,+152,-179
"Golden State Warriors",2017,41,1,-588,+440
"Denver Nuggets",2017,40,0,+440,-588
"Los Angeles Clippers",2017,39,1,-185,+156
"Atlanta Hawks",2017,40,0,+156,-185
"Sacramento Kings",2017,39,0,+179,-217
"San Antonio Spurs",2017,42,1,-217,+179
"Chicago Bulls",2017,41,0,+197,-238
"Houston Rockets",2017,39,1,-238,+197
"Minnesota Timberwolves",2017,42,1,-106,-111
"Cleveland Cavaliers",2017,40,0,-111,-106
"New Orleans Pelicans",2017,39,1,-250,+202
"Detroit Pistons",2017,39,0,+202,-250
"Brooklyn Nets",2017,40,0,+250,-312
"Toronto Raptors",2017,38,1,-312,+250
"Indiana Pacers",2017,40,1,-123,+104
"Milwaukee Bucks",2017,39,0,+104,-123
"Los Angeles Lakers",2017,39,1,-161,+137
"Atlanta Hawks",2017,39,0,+137,-161
"Portland Trail Blazers",2017,39,1,-115,-102
"San Antonio Spurs",2017,41,0,-102,-115
"Phoenix Suns",2017,42,1,+297,-385
"Oklahoma City Thunder",2017,40,0,-385,+297
"Dallas Mavericks",2017,41,0,-213,+177
"New York Knicks",2017,40,1,+177,-213
"Miami Heat",2017,39,1,-169,+144
"Utah Jazz",2017,40,0,+144,-169
"Sacramento Kings",2017,38,1,+276,-345
"Denver Nuggets",2017,39,0,-345,+276
"Minnesota Timberwolves",2017,41,1,-122,+102
"New Orleans Pelicans",2017,38,0,+102,-122
"Washington Wizards",2017,40,0,-159,+136
"Milwaukee Bucks",2017,38,1,+136,-159
"Detroit Pistons",2017,38,1,+204,-250
"Houston Rockets",2017,38,0,-250,+204
"Indiana Pacers",2017,39,1,-244,+198
"Chicago Bulls",2017,40,0,+198,-244
"Orlando Magic",2017,40,0,+337,-435
"Cleveland Cavaliers",2017,39,1,-435,+337
"Brooklyn Nets",2017,39,0,+136,-161
"Boston Celtics",2017,43,1,-161,+136
"Los Angeles Clippers",2017,38,0,+309,-400
"Golden State Warriors",2017,40,1,-400,+309
"Los Angeles Lakers",2017,38,0,+114,-133
"Charlotte Hornets",2017,38,1,-133,+114
"Portland Trail Blazers",2017,38,1,-303,+247
"Atlanta Hawks",2017,38,0,+247,-303
"Memphis Grizzlies",2017,39,0,+161,-192
"Washington Wizards",2017,39,1,-192,+161
"Denver Nuggets",2017,38,1,-270,+224
"Utah Jazz",2017,39,0,+224,-270
"Dallas Mavericks",2017,40,0,-179,+152
"Chicago Bulls",2017,39,1,+152,-179
"San Antonio Spurs",2017,40,1,-769,+556
"Phoenix Suns",2017,41,0,+556,-769
"Miami Heat",2017,38,1,-238,+198
"New York Knicks",2017,39,0,+198,-238
"Milwaukee Bucks",2017,37,0,-115,-103
"Toronto Raptors",2017,37,1,-103,-115
"Boston Celtics",2017,42,1,-149,+127
"Minnesota Timberwolves",2017,40,0,+127,-149
"Philadelphia 76ers",2017,38,1,-227,+188
"Detroit Pistons",2017,37,0,+188,-227
"Los Angeles Clippers",2017,37,0,-104,-115
"Oklahoma City Thunder",2017,39,1,-115,-104
"Houston Rockets",2017,37,0,+156,-185
"Golden State Warriors",2017,39,1,-185,+156
"Los Angeles Lakers",2017,37,0,+181,-217
"Oklahoma City Thunder",2017,38,1,-217,+181
"Denver Nuggets",2017,37,1,-833,+573
"Phoenix Suns",2017,40,0,+573,-833
"Utah Jazz",2017,38,0,-112,-105
"New Orleans Pelicans",2017,37,1,-105,-112
"Dallas Mavericks",2017,39,0,+285,-357
"Golden State Warriors",2017,38,1,-357,+285
"Boston Celtics",2017,41,1,-154,+129
"Cleveland Cavaliers",2017,38,0,+129,-154
"Chicago Bulls",2017,38,0,+162,-189
"Toronto Raptors",2017,36,1,-189,+162
"Milwaukee Bucks",2017,36,1,-333,+269
"Indiana Pacers",2017,38,0,+269,-333
"Brooklyn Nets",2017,38,1,+219,-263
"Minnesota Timberwolves",2017,39,0,-263,+219
"Miami Heat",2017,37,1,-189,+159
"Detroit Pistons",2017,36,0,+159,-189
"Orlando Magic",2017,39,0,+250,-303
"Houston Rockets",2017,36,1,-303,+250
"Philadelphia 76ers",2017,37,1,-164,+141
"San Antonio Spurs",2017,39,0,+141,-164
"Washington Wizards",2017,38,1,-476,+362
"New York Knicks",2017,38,0,+362,-476
"Los Angeles Clippers",2017,36,1,-238,+198
"Memphis Grizzlies",2017,38,0,+198,-238
"Sacramento Kings",2017,37,0,+150,-175
"Charlotte Hornets",2017,37,1,-175,+150
"Phoenix Suns",2017,39,1,-114,-104
"Atlanta Hawks",2017,37,0,-104,-114
"New York Knicks",2017,37,0,+177,-213
"San Antonio Spurs",2017,38,1,-213,+177
"Cleveland Cavaliers",2017,37,1,-455,+342
"Portland Trail Blazers",2017,37,0,+342,-455
"Chicago Bulls",2017,37,0,-152,+127
"Portland Trail Blazers",2017,36,1,+127,-152
"Minnesota Timberwolves",2017,38,1,-526,+396
"Los Angeles Lakers",2017,36,0,+396,-526
"Brooklyn Nets",2017,37,1,-123,+104
"Orlando Magic",2017,38,0,+104,-123
"Toronto Raptors",2017,35,1,-238,+199
"Milwaukee Bucks",2017,35,0,+199,-238
"Phoenix Suns",2017,38,0,+136,-159
"Philadelphia 76ers",2017,36,1,-159,+136
"Houston Rockets",2017,35,1,-1429,+857
"Los Angeles Lakers",2017,35,0,+857,-1429
"Los Angeles Clippers",2017,35,1,-127,+108
"Charlotte Hornets",2017,36,0,+108,-127
"Oklahoma City Thunder",2017,37,0,-323,+258
"Dallas Mavericks",2017,38,1,+258,-323
"Sacramento Kings",2017,36,0,-135,+114
"Memphis Grizzlies",2017,37,1,+114,-135
"Boston Celtics",2017,40,1,-526,+386
"Brooklyn Nets",2017,36,0,+386,-526
"Indiana Pacers",2017,37,0,+125,-149
"Minnesota Timberwolves",2017,37,1,-149,+125
"Washington Wizards",2017,37,1,-345,+277
"Chicago Bulls",2017,36,0,+277,-345
"Denver Nuggets",2017,36,0,-286,+231
"Philadelphia 76ers",2017,35,1,+231,-286
"Golden State Warriors",2017,37,1,-1429,+848
"Memphis Grizzlies",2017,36,0,+848,-1429
"Utah Jazz",2017,37,1,+131,-156
"Cleveland Cavaliers",2017,36,0,-156,+131
"Atlanta Hawks",2017,36,1,+121,-143
"Portland Trail Blazers",2017,35,0,-143,+121
"Detroit Pistons",2017,35,1,+168,-204
"San Antonio Spurs",2017,37,0,-204,+168
"New Orleans Pelicans",2017,36,0,-227,+186
"New York Knicks",2017,36,1,+186,-227
"Orlando Magic",2017,37,0,+100,-119
"Miami Heat",2017,36,1,-119,+100
"Golden State Warriors",2017,36,0,-556,+417
"Charlotte Hornets",2017,35,1,+417,-556
"Los Angeles Lakers",2017,34,0,+127,-152
"Los Angeles Clippers",2017,34,1,-152,+127
"Sacramento Kings",2017,35,0,-147,+125
"Phoenix Suns",2017,37,1,+125,-147
"Chicago Bulls",2017,35,1,-152,+127
"Indiana Pacers",2017,36,0,+127,-152
"Miami Heat",2017,35,0,-244,+202
"Brooklyn Nets",2017,35,1,+202,-244
"New Orleans Pelicans",2017,35,0,-270,+222
"Dallas Mavericks",2017,37,1,+222,-270
"Oklahoma City Thunder",2017,36,0,-250,+208
"Milwaukee Bucks",2017,34,1,+208,-250
"Toronto Raptors",2017,34,1,-667,+487
"Atlanta Hawks",2017,35,0,+487,-667
"Washington Wizards",2017,36,1,+110,-133
"Houston Rockets",2017,34,0,-133,+110
"Portland Trail Blazers",2017,34,1,+108,-127
"Philadelphia 76ers",2017,34,0,-127,+108
"San Antonio Spurs",2017,36,1,-667,+473
"New York Knicks",2017,35,0,+473,-667
"Boston Celtics",2017,39,1,+108,-127
"Houston Rockets",2017,33,0,-127,+108
"Milwaukee Bucks",2017,33,1,-172,+146
"Minnesota Timberwolves",2017,36,0,+146,-172
"Orlando Magic",2017,36,1,+145,-169
"Detroit Pistons",2017,34,0,-169,+145
"Los Angeles Lakers",2017,33,0,-159,+135
"Memphis Grizzlies",2017,35,1,+135,-159
"Golden State Warriors",2017,35,1,-714,+525
"Utah Jazz",2017,36,0,+525,-714
"Sacramento Kings",2017,34,1,+351,-455
"Cleveland Cavaliers",2017,35,0,-455,+351
"Chicago Bulls",2017,34,1,-125,+106
"New York Knicks",2017,34,0,+106,-125
"Minnesota Timberwolves",2017,35,1,-208,+175
"Denver Nuggets",2017,35,0,+175,-208
"New Orleans Pelicans",2017,34,1,-455,+350
"Brooklyn Nets",2017,34,0,+350,-455
"Oklahoma City Thunder",2017,35,1,-167,+140
"Toronto Raptors",2017,33,0,+140,-167
"Atlanta Hawks",2017,34,1,+200,-244
"Washington Wizards",2017,35,0,-244,+200
"Charlotte Hornets",2017,34,0,-106,-112
"Boston Celtics",2017,38,1,-112,-106
"Indiana Pacers",2017,35,0,-172,+145
"Dallas Mavericks",2017,36,1,+145,-172
"Los Angeles Clippers",2017,33,1,-217,+179
"Sacramento Kings",2017,33,0,+179,-217
"Denver Nuggets",2017,34,1,-238,+200
"Utah Jazz",2017,35,0,+200,-238
"Phoenix Suns",2017,36,1,+102,-120
"Memphis Grizzlies",2017,34,0,-120,+102
"San Antonio Spurs",2017,35,1,-833,+577
"Brooklyn Nets",2017,33,0,+577,-833
"Milwaukee Bucks",2017,32,0,-294,+240
"Chicago Bulls",2017,33,1,+240,-294
"Miami Heat",2017,34,1,-370,+297
"Orlando Magic",2017,35,0,+297,-370
"Dallas Mavericks",2017,35,1,+202,-244
"Toronto Raptors",2017,32,0,-244,+202
"Detroit Pistons",2017,33,1,-125,+106
"Indiana Pacers",2017,34,0,+106,-125
"Los Angeles Lakers",2017,32,0,+206,-250
"Minnesota Timberwolves",2017,34,1,-250,+206
"Oklahoma City Thunder",2017,34,1,-128,+108
"Houston Rockets",2017,32,0,+108,-128
"Boston Celtics",2017,37,0,-182,+154
"Washington Wizards",2017,34,1,+154,-182
"Golden State Warriors",2017,34,1,-189,+161
"Cleveland Cavaliers",2017,34,0,+161,-189
"New York Knicks",2017,33,0,-104,-111
"Philadelphia 76ers",2017,33,1,-111,-104
"Sacramento Kings",2017,32,0,+209,-250
"San Antonio Spurs",2017,34,1,-250,+209
"Los Angeles Lakers",2017,31,0,-145,+124
"Portland Trail Blazers",2017,33,1,+124,-145
"Phoenix Suns",2017,35,0,+273,-345
"Minnesota Timberwolves",2017,33,1,-345,+273
"Golden State Warriors",2017,33,0,-370,+295
"Denver Nuggets",2017,33,1,+295,-370
"Memphis Grizzlies",2017,33,1,-132,+112
"Los Angeles Clippers",2017,32,0,+112,-132
"Miami Heat",2017,33,0,+139,-164
"New Orleans Pelicans",2017,33,1,-164,+139
"Utah Jazz",2017,34,0,-119,+100
"Oklahoma City Thunder",2017,33,1,+100,-119
"Atlanta Hawks",2017,33,1,-101,-118
"Dallas Mavericks",2017,34,0,-118,-101
"Boston Celtics",2017,36,1,-357,+282
"Chicago Bulls",2017,32,0,+282,-357
"Charlotte Hornets",2017,33,1,-192,+162
"Milwaukee Bucks",2017,31,0,+162,-192
"Indiana Pacers",2017,33,1,-476,+366
"Brooklyn Nets",2017,32,0,+366,-476
"Washington Wizards",2017,33,1,-909,+607
"Orlando Magic",2017,34,0,+607,-909
"Toronto Raptors",2017,31,1,-370,+291
"Philadelphia 76ers",2017,32,0,+291,-370
"Golden State Warriors",2017,32,1,-769,+549
"Los Angeles Lakers",2017,30,0,+549,-769
"Portland Trail Blazers",2017,32,0,+104,-122
"Denver Nuggets",2017,32,1,-122,+104
"Houston Rockets",2017,31,0,-909,+631
"Los Angeles Clippers",2017,31,1,+631,-909
"Miami Heat",2017,32,1,+102,-122
"Dallas Mavericks",2017,33,0,-122,+102
"Milwaukee Bucks",2017,30,1,-204,+170
"Charlotte Hornets",2017,32,0,+170,-204
"Oklahoma City Thunder",2017,32,1,-667,+493
"Atlanta Hawks",2017,32,0,+493,-667
"Brooklyn Nets",2017,31,1,+200,-244
"Washington Wizards",2017,32,0,-244,+200
"Detroit Pistons",2017,32,1,-270,+222
"New York Knicks",2017,32,0,+222,-270
"Orlando Magic",2017,33,0,+204,-244
"New Orleans Pelicans",2017,32,1,-244,+204
"Utah Jazz",2017,33,1,+117,-133
"San Antonio Spurs",2017,33,0,-133,+117
"Phoenix Suns",2017,34,1,+131,-156
"Memphis Grizzlies",2017,32,0,-156,+131
"New York Knicks",2017,31,1,+125,-147
"Boston Celtics",2017,35,0,-147,+125
"Cleveland Cavaliers",2017,33,1,-667,+475
"Chicago Bulls",2017,31,0,+475,-667
"Philadelphia 76ers",2017,31,0,+142,-167
"Toronto Raptors",2017,30,1,-167,+142
"Golden State Warriors",2017,31,1,-526,+390
"Memphis Grizzlies",2017,31,0,+390,-526
"Los Angeles Clippers",2017,30,1,-222,+185
"Phoenix Suns",2017,33,0,+185,-222
"Portland Trail Blazers",2017,31,0,-141,+119
"San Antonio Spurs",2017,32,1,+119,-141
"Denver Nuggets",2017,31,0,-114,-104
"Minnesota Timberwolves",2017,32,1,-104,-114
"Dallas Mavericks",2017,32,1,-118,-101
"Detroit Pistons",2017,31,0,-101,-118
"Chicago Bulls",2017,30,1,-200,+167
"Orlando Magic",2017,32,0,+167,-200
"Houston Rockets",2017,30,0,-1667,+911
"Los Angeles Lakers",2017,29,1,+911,-1667
"Oklahoma City Thunder",2017,31,1,-345,+276
"Utah Jazz",2017,32,0,+276,-345
"Atlanta Hawks",2017,31,0,+165,-196
"Indiana Pacers",2017,32,1,-196,+165
"Boston Celtics",2017,34,0,-455,+353
"Miami Heat",2017,31,1,+353,-455
"Brooklyn Nets",2017,30,0,-227,+186
"Sacramento Kings",2017,31,1,+186,-227
"Charlotte Hornets",2017,31,0,+110,-132
"Toronto Raptors",2017,29,1,-132,+110
"Milwaukee Bucks",2017,29,1,+100,-119
"Cleveland Cavaliers",2017,32,0,-119,+100
"Philadelphia 76ers",2017,30,0,-370,+294
"Sacramento Kings",2017,30,1,+294,-370
"Washington Wizards",2017,31,1,-137,+116
"New Orleans Pelicans",2017,31,0,+116,-137
"Los Angeles Lakers",2017,28,0,+181,-222
"Golden State Warriors",2017,30,1,-222,+181
"Dallas Mavericks",2017,31,0,-303,+245
"Phoenix Suns",2017,32,1,+245,-303
"San Antonio Spurs",2017,31,1,-769,+548
"Los Angeles Clippers",2017,29,0,+548,-769
"Chicago Bulls",2017,29,1,+106,-127
"Philadelphia 76ers",2017,29,0,-127,+106
"Houston Rockets",2017,29,1,-909,+596
"Utah Jazz",2017,31,0,+596,-909
"Minnesota Timberwolves",2017,31,1,-185,+158
"Portland Trail Blazers",2017,30,0,+158,-185
"Oklahoma City Thunder",2017,30,1,-208,+172
"Denver Nuggets",2017,30,0,+172,-208
"Atlanta Hawks",2017,30,1,-122,+104
"Miami Heat",2017,30,0,+104,-122
"Charlotte Hornets",2017,30,1,-333,+272
"New York Knicks",2017,30,0,+272,-333
"Indiana Pacers",2017,31,0,+118,-139
"Boston Celtics",2017,33,1,-139,+118
"Brooklyn Nets",2017,29,0,+136,-161
"Indiana Pacers",2017,30,1,-161,+136
"Washington Wizards",2017,30,0,-128,+108
"Cleveland Cavaliers",2017,31,1,+108,-128
"Detroit Pistons",2017,30,1,-385,+309
"Orlando Magic",2017,31,0,+309,-385
"Toronto Raptors",2017,28,1,-833,+597
"Sacramento Kings",2017,29,0,+597,-833
"Memphis Grizzlies",2017,30,0,+192,-233
"Boston Celtics",2017,32,1,-233,+192
"San Antonio Spurs",2017,30,1,-250,+206
"Dallas Mavericks",2017,30,0,+206,-250
"Houston Rockets",2017,28,1,-588,+448
"Milwaukee Bucks",2017,28,0,+448,-588
"Miami Heat",2017,29,1,-250,+209
"Los Angeles Clippers",2017,28,0,+209,-250
"Minnesota Timberwolves",2017,30,0,-909,+591
"Phoenix Suns",2017,31,1,+591,-909
"Cleveland Cavaliers",2017,30,1,-526,+400
"Utah Jazz",2017,30,0,+400,-526
"New York Knicks",2017,29,1,+154,-182
"Oklahoma City Thunder",2017,29,0,-182,+154
"Charlotte Hornets",2017,29,0,-161,+137
"Portland Trail Blazers",2017,29,1,+137,-161
"Houston Rockets",2017,27,1,-370,+294
"San Antonio Spurs",2017,29,0,+294,-370
"Denver Nuggets",2017,29,1,-123,+104
"New Orleans Pelicans",2017,30,0,+104,-123
"Memphis Grizzlies",2017,29,1,-263,+218
"Atlanta Hawks",2017,29,0,+218,-263
"Milwaukee Bucks",2017,27,0,-385,+309
"Chicago Bulls",2017,28,1,+309,-385
"Boston Celtics",2017,31,0,-200,+168
"Utah Jazz",2017,29,1,+168,-200
"Toronto Raptors",2017,27,1,-1111,+699
"Brooklyn Nets",2017,28,0,+699,-1111
"Charlotte Hornets",2017,28,0,-208,+174
"Miami Heat",2017,28,1,+174,-208
"Indiana Pacers",2017,29,0,-208,+177
"Detroit Pistons",2017,29,1,+177,-208
"Orlando Magic",2017,30,0,+156,-182
"Portland Trail Blazers",2017,28,1,-182,+156
"Philadelphia 76ers",2017,28,0,-116,-101
"Oklahoma City Thunder",2017,28,1,-101,-116
"Washington Wizards",2017,29,1,-526,+408
"Los Angeles Clippers",2017,27,0,+408,-526
"Golden State Warriors",2017,29,1,-556,+415
"Dallas Mavericks",2017,29,0,+415,-556
"Cleveland Cavaliers",2017,29,1,-526,+399
"Los Angeles Lakers",2017,27,0,+399,-526
"Minnesota Timberwolves",2017,29,1,-667,+478
"Sacramento Kings",2017,28,0,+478,-667
"Atlanta Hawks",2017,28,0,+146,-172
"Detroit Pistons",2017,28,1,-172,+146
"Brooklyn Nets",2017,27,0,-119,+102
"New York Knicks",2017,28,1,+102,-119
"Houston Rockets",2017,26,1,-833,+585
"Charlotte Hornets",2017,27,0,+585,-833
"Phoenix Suns",2017,30,0,+571,-833
"Toronto Raptors",2017,26,1,-833,+571
"Chicago Bulls",2017,27,1,+186,-227
"Utah Jazz",2017,28,0,-227,+186
"New Orleans Pelicans",2017,29,1,-135,+114
"Milwaukee Bucks",2017,26,0,+114,-135
"Boston Celtics",2017,30,1,-244,+202
"Denver Nuggets",2017,28,0,+202,-244
"Miami Heat",2017,27,0,-149,+127
"Portland Trail Blazers",2017,27,1,+127,-149
"Indiana Pacers",2017,28,0,-106,-111
"Oklahoma City Thunder",2017,27,1,-111,-106
"Orlando Magic",2017,29,0,-105,-112
"Los Angeles Clippers",2017,26,1,-112,-105
"Washington Wizards",2017,28,1,-323,+261
"Memphis Grizzlies",2017,28,0,+261,-323
"Sacramento Kings",2017,27,1,-182,+154
"Phoenix Suns",2017,29,0,+154,-182
"Minnesota Timberwolves",2017,28,0,-192,+163
"Philadelphia 76ers",2017,27,1,+163,-192
"Dallas Mavericks",2017,28,1,+206,-250
"San Antonio Spurs",2017,28,0,-250,+206
"Brooklyn Nets",2017,26,1,+131,-156
"Washington Wizards",2017,27,0,-156,+131
"Cleveland Cavaliers",2017,28,1,-909,+604
"Atlanta Hawks",2017,27,0,+604,-909
"Detroit Pistons",2017,27,0,-256,+214
"Denver Nuggets",2017,27,1,+214,-256
"New York Knicks",2017,27,1,-141,+120
"Los Angeles Lakers",2017,26,0,+120,-141
"Golden State Warriors",2017,28,1,-417,+332
"Portland Trail Blazers",2017,26,0,+332,-417
"Los Angeles Clippers",2017,25,1,+184,-222
"Toronto Raptors",2017,25,0,-222,+184
"Chicago Bulls",2017,26,1,+183,-222
"Boston Celtics",2017,29,0,-222,+183
"Houston Rockets",2017,25,1,-1000,+683
"New Orleans Pelicans",2017,28,0,+683,-1000
"Memphis Grizzlies",2017,27,0,-118,+100
"Miami Heat",2017,26,1,+100,-118
"Oklahoma City Thunder",2017,26,0,-323,+264
"Charlotte Hornets",2017,26,1,+264,-323
"New York Knicks",2017,26,1,-233,+193
"Atlanta Hawks",2017,26,0,+193,-233
"Minnesota Timberwolves",2017,27,1,-333,+268
"Dallas Mavericks",2017,27,0,+268,-333
"New Orleans Pelicans",2017,27,1,-270,+224
"Philadelphia 76ers",2017,26,0,+224,-270
"Indiana Pacers",2017,27,1,-213,+175
"Denver Nuggets",2017,26,0,+175,-213
"Detroit Pistons",2017,26,0,+100,-120
"Boston Celtics",2017,28,1,-120,+100
"Sacramento Kings",2017,26,0,+326,-417
"Toronto Raptors",2017,24,1,-417,+326
"Portland Trail Blazers",2017,25,0,+292,-370
"Houston Rockets",2017,24,1,-370,+292
"Memphis Grizzlies",2017,26,0,+172,-204
"Oklahoma City Thunder",2017,25,1,-204,+172
"Phoenix Suns",2017,28,0,+181,-217
"San Antonio Spurs",2017,27,1,-217,+181
"Milwaukee Bucks",2017,25,1,-120,+102
"Utah Jazz",2017,27,0,+102,-120
"Chicago Bulls",2017,25,1,+139,-161
"New York Knicks",2017,25,0,-161,+139
"Cleveland Cavaliers",2017,27,1,-256,+217
"Philadelphia 76ers",2017,25,0,+217,-256
"Atlanta Hawks",2017,25,1,-196,+167
"Orlando Magic",2017,28,0,+167,-196
"Charlotte Hornets",2017,25,0,-164,+141
"Los Angeles Lakers",2017,25,1,+141,-164
"Brooklyn Nets",2017,25,0,+114,-135
"Miami Heat",2017,25,1,-135,+114
"Los Angeles Clippers",2017,24,1,+108,-127
"Washington Wizards",2017,26,0,-127,+108
"San Antonio Spurs",2017,26,1,-137,+118
"Boston Celtics",2017,27,0,+118,-137
"Memphis Grizzlies",2017,25,0,+186,-222
"Toronto Raptors",2017,23,1,-222,+186
"Milwaukee Bucks",2017,24,1,-286,+233
"Dallas Mavericks",2017,26,0,+233,-286
"New Orleans Pelicans",2017,26,0,-476,+373
"Sacramento Kings",2017,25,1,+373,-476
"Charlotte Hornets",2017,24,0,-500,+383
"Chicago Bulls",2017,24,1,+383,-500
"Detroit Pistons",2017,25,0,+179,-217
"Golden State Warriors",2017,27,1,-217,+179
"Indiana Pacers",2017,26,1,+141,-167
"Cleveland Cavaliers",2017,26,0,-167,+141
"Orlando Magic",2017,27,0,-125,+106
"Denver Nuggets",2017,25,1,+106,-125
"Utah Jazz",2017,26,0,+213,-256
"Houston Rockets",2017,23,1,-256,+213
"Brooklyn Nets",2017,24,1,+238,-286
"Oklahoma City Thunder",2017,24,0,-286,+238
"Phoenix Suns",2017,27,0,+219,-263
"Washington Wizards",2017,25,1,-263,+219
"Philadelphia 76ers",2017,24,0,-385,+299
"Los Angeles Lakers",2017,24,1,+299,-385
"Los Angeles Clippers",2017,23,0,+175,-213
"Minnesota Timberwolves",2017,26,1,-213,+175
"San Antonio Spurs",2017,25,1,-345,+278
"Miami Heat",2017,24,0,+278,-345
"Charlotte Hornets",2017,23,0,+131,-154
"Golden State Warriors",2017,26,1,-154,+131
"Milwaukee Bucks",2017,23,1,-179,+150
"Detroit Pistons",2017,24,0,+150,-179
"New Orleans Pelicans",2017,25,1,-222,+181
