team,seasonStartYear,gameNumber,outcome,winOdds,loseOdds
"Golden State Warriors",2016,78,1,-1667,+941
"Minnesota Timberwolves",2016,77,0,+941,-1667
"Sacramento Kings",2016,78,1,+122,-143
"Dallas Mavericks",2016,77,0,-143,+122
"Utah Jazz",2016,78,1,-244,+202
"Portland Trail Blazers",2016,78,0,+202,-244
"San Antonio Spurs",2016,77,1,-455,+346
"Memphis Grizzlies",2016,78,0,+346,-455
"New Orleans Pelicans",2016,78,0,-156,+134
"Denver Nuggets",2016,77,1,+134,-156
"New York Knicks",2016,78,1,+164,-196
"Chicago Bulls",2016,78,0,-196,+164
"Oklahoma City Thunder",2016,77,1,-233,+194
"Milwaukee Bucks",2016,78,0,+194,-233
"Cleveland Cavaliers",2016,77,1,-714,+505
"Orlando Magic",2016,78,0,+505,-714
"Indiana Pacers",2016,78,1,-149,+127
"Toronto Raptors",2016,78,0,+127,-149
"Philadelphia 76ers",2016,78,0,+106,-128
"Brooklyn Nets",2016,78,1,-128,+106
"Washington Wizards",2016,78,1,-152,+129
"Charlotte Hornets",2016,78,0,+129,-152
"Minnesota Timberwolves",2016,76,1,-127,+108
"Portland Trail Blazers",2016,77,0,+108,-127
"Phoenix Suns",2016,78,0,+277,-345
"Houston Rockets",2016,77,1,-345,+277
"Golden State Warriors",2016,77,1,-526,+400
"Washington Wizards",2016,77,0,+400,-526
"Brooklyn Nets",2016,77,1,+133,-159
"Atlanta Hawks",2016,77,0,-159,+133
"Cleveland Cavaliers",2016,76,1,-400,+307
"Indiana Pacers",2016,77,0,+307,-400
"Miami Heat",2016,77,0,-164,+140
"Denver Nuggets",2016,76,1,+140,-164
"New Orleans Pelicans",2016,77,0,-385,+300
"Chicago Bulls",2016,77,1,+300,-385
"Toronto Raptors",2016,77,1,-909,+601
"Philadelphia 76ers",2016,77,0,+601,-909
"Los Angeles Lakers",2016,77,1,+254,-303
"Memphis Grizzlies",2016,77,0,-303,+254
"Milwaukee Bucks",2016,77,0,-270,+223
"Dallas Mavericks",2016,76,1,+223,-270
"San Antonio Spurs",2016,76,1,-227,+193
"Utah Jazz",2016,77,0,+193,-227
"Oklahoma City Thunder",2016,76,0,-204,+171
"Charlotte Hornets",2016,77,1,+171,-204
"New York Knicks",2016,77,0,+276,-345
"Boston Celtics",2016,77,1,-345,+276
"Portland Trail Blazers",2016,76,1,-714,+513
"Phoenix Suns",2016,77,0,+513,-714
"Minnesota Timberwolves",2016,75,0,-833,+585
"Sacramento Kings",2016,77,1,+585,-833
"Brooklyn Nets",2016,76,1,-172,+147
"Orlando Magic",2016,77,0,+147,-172
"Chicago Bulls",2016,76,1,-227,+187
"Atlanta Hawks",2016,76,0,+187,-227
"Los Angeles Clippers",2016,78,1,-2000,+1115
"Los Angeles Lakers",2016,76,0,+1115,-2000
"Golden State Warriors",2016,76,1,-435,+338
"Houston Rockets",2016,76,0,+338,-435
"Utah Jazz",2016,76,1,-143,+122
"Washington Wizards",2016,76,0,+122,-143
"Memphis Grizzlies",2016,76,1,-156,+133
"Dallas Mavericks",2016,75,0,+133,-156
"Miami Heat",2016,76,0,-667,+487
"New York Knicks",2016,76,1,+487,-667
"Milwaukee Bucks",2016,76,1,-312,+254
"Detroit Pistons",2016,77,0,+254,-312
"New Orleans Pelicans",2016,76,1,-833,+564
"Sacramento Kings",2016,76,0,+564,-833
"Oklahoma City Thunder",2016,75,0,+131,-156
"San Antonio Spurs",2016,75,1,-156,+131
"Boston Celtics",2016,76,1,-625,+462
"Orlando Magic",2016,76,0,+462,-625
"Cleveland Cavaliers",2016,75,1,-1111,+710
"Philadelphia 76ers",2016,76,0,+710,-1111
"Charlotte Hornets",2016,76,1,-139,+117
"Denver Nuggets",2016,75,0,+117,-139
"Toronto Raptors",2016,76,1,-238,+196
"Indiana Pacers",2016,76,0,+196,-238
"Portland Trail Blazers",2016,75,1,-114,-105
"Houston Rockets",2016,75,0,-105,-114
"Phoenix Suns",2016,76,0,+430,-588
"Los Angeles Clippers",2016,77,1,-588,+430
"Chicago Bulls",2016,75,1,+188,-227
"Cleveland Cavaliers",2016,74,0,-227,+188
"Minnesota Timberwolves",2016,74,1,-769,+529
"Los Angeles Lakers",2016,75,0,+529,-769
"Detroit Pistons",2016,76,1,-278,+227
"Brooklyn Nets",2016,75,0,+227,-278
"Los Angeles Clippers",2016,76,1,-256,+216
"Washington Wizards",2016,75,0,+216,-256
"Sacramento Kings",2016,75,0,+273,-345
"Utah Jazz",2016,75,1,-345,+273
"San Antonio Spurs",2016,74,0,-192,+163
"Golden State Warriors",2016,75,1,+163,-192
"Memphis Grizzlies",2016,75,1,-182,+158
"Indiana Pacers",2016,75,0,+158,-182
"New Orleans Pelicans",2016,75,1,-256,+210
"Dallas Mavericks",2016,74,0,+210,-256
"Boston Celtics",2016,75,0,-333,+271
"Milwaukee Bucks",2016,75,1,+271,-333
"New York Knicks",2016,75,0,+121,-143
"Miami Heat",2016,75,1,-143,+121
"Toronto Raptors",2016,75,0,-244,+202
"Charlotte Hornets",2016,75,1,+202,-244
"Orlando Magic",2016,75,0,+181,-217
"Oklahoma City Thunder",2016,74,1,-217,+181
"Philadelphia 76ers",2016,75,0,+125,-149
"Atlanta Hawks",2016,75,1,-149,+125
"Los Angeles Lakers",2016,74,0,+363,-476
"Washington Wizards",2016,74,1,-476,+363
"Portland Trail Blazers",2016,74,1,-132,+112
"Denver Nuggets",2016,74,0,+112,-132
"Houston Rockets",2016,74,0,-119,+100
"Golden State Warriors",2016,74,1,+100,-119
"Atlanta Hawks",2016,74,1,-556,+415
"Phoenix Suns",2016,75,0,+415,-556
"Brooklyn Nets",2016,74,0,-185,+156
"Philadelphia 76ers",2016,74,1,+156,-185
"Detroit Pistons",2016,75,0,+129,-152
"Miami Heat",2016,74,1,-152,+129
"Charlotte Hornets",2016,74,0,-182,+154
"Milwaukee Bucks",2016,74,1,+154,-182
"Indiana Pacers",2016,74,0,-182,+156
"Minnesota Timberwolves",2016,73,1,+156,-182
"Sacramento Kings",2016,74,1,+233,-286
"Memphis Grizzlies",2016,74,0,-286,+233
"Utah Jazz",2016,74,1,-244,+204
"New Orleans Pelicans",2016,74,0,+204,-244
"Dallas Mavericks",2016,73,0,+108,-128
"Oklahoma City Thunder",2016,73,1,-128,+108
"San Antonio Spurs",2016,73,1,-222,+186
"Cleveland Cavaliers",2016,73,0,+186,-222
"New York Knicks",2016,74,1,-101,-118
"Detroit Pistons",2016,74,0,-118,-101
"Toronto Raptors",2016,74,1,-357,+281
"Orlando Magic",2016,74,0,+281,-357
"Los Angeles Lakers",2016,73,0,+229,-278
"Portland Trail Blazers",2016,73,1,-278,+229
"Denver Nuggets",2016,73,0,-345,+272
"New Orleans Pelicans",2016,73,1,+272,-345
"Golden State Warriors",2016,73,1,-833,+571
"Memphis Grizzlies",2016,73,0,+571,-833
"Boston Celtics",2016,74,1,-250,+206
"Miami Heat",2016,73,0,+206,-250
"Indiana Pacers",2016,73,1,-455,+354
"Philadelphia 76ers",2016,73,0,+354,-455
"Houston Rockets",2016,73,1,-244,+200
"Oklahoma City Thunder",2016,72,0,+200,-244
"Los Angeles Clippers",2016,75,0,-1250,+785
"Sacramento Kings",2016,73,1,+785,-1250
"Milwaukee Bucks",2016,73,0,-270,+223
"Chicago Bulls",2016,74,1,+223,-270
"Atlanta Hawks",2016,73,0,-278,+229
"Brooklyn Nets",2016,73,1,+229,-278
"Charlotte Hornets",2016,73,1,-1111,+742
"Phoenix Suns",2016,74,0,+742,-1111
"Portland Trail Blazers",2016,72,1,-256,+210
"Minnesota Timberwolves",2016,72,0,+210,-256
"Dallas Mavericks",2016,72,0,-108,-109
"Toronto Raptors",2016,73,1,-109,-108
"San Antonio Spurs",2016,72,1,-2500,+1215
"New York Knicks",2016,73,0,+1215,-2500
"Cleveland Cavaliers",2016,72,0,-244,+200
"Washington Wizards",2016,73,1,+200,-244
"Los Angeles Clippers",2016,74,1,-204,+172
"Utah Jazz",2016,73,0,+172,-204
"Golden State Warriors",2016,72,1,-5000,+1811
"Sacramento Kings",2016,72,0,+1811,-5000
"Los Angeles Lakers",2016,72,1,+225,-270
"Minnesota Timberwolves",2016,71,0,-270,+225
"Chicago Bulls",2016,73,0,-278,+227
"Philadelphia 76ers",2016,72,1,+227,-278
"Houston Rockets",2016,72,1,-370,+291
"New Orleans Pelicans",2016,72,0,+291,-370
"Milwaukee Bucks",2016,72,1,-270,+225
"Atlanta Hawks",2016,72,0,+225,-270
"Boston Celtics",2016,73,1,-3333,+1510
"Phoenix Suns",2016,73,0,+1510,-3333
"Charlotte Hornets",2016,72,0,+140,-164
"Cleveland Cavaliers",2016,71,1,-164,+140
"Indiana Pacers",2016,72,0,-125,+106
"Denver Nuggets",2016,72,1,+106,-125
"Orlando Magic",2016,73,1,+114,-135
"Detroit Pistons",2016,73,0,-135,+114
"Washington Wizards",2016,72,1,-714,+500
"Brooklyn Nets",2016,72,0,+500,-714
"Portland Trail Blazers",2016,71,1,-1250,+791
"New York Knicks",2016,72,0,+791,-1250
"Dallas Mavericks",2016,71,1,+183,-222
"Los Angeles Clippers",2016,73,0,-222,+183
"San Antonio Spurs",2016,71,1,-385,+297
"Memphis Grizzlies",2016,72,0,+297,-385
"Brooklyn Nets",2016,71,1,-222,+186
"Phoenix Suns",2016,72,0,+186,-222
"Miami Heat",2016,72,0,-175,+150
"Toronto Raptors",2016,72,1,+150,-175
"Sacramento Kings",2016,71,0,+181,-217
"Milwaukee Bucks",2016,71,1,-217,+181
"Utah Jazz",2016,72,1,-833,+587
"New York Knicks",2016,71,0,+587,-833
"Denver Nuggets",2016,71,1,+117,-139
"Cleveland Cavaliers",2016,70,0,-139,+117
"Chicago Bulls",2016,72,1,+108,-128
"Detroit Pistons",2016,72,0,-128,+108
"Oklahoma City Thunder",2016,71,1,-833,+560
"Philadelphia 76ers",2016,71,0,+560,-833
"Washington Wizards",2016,71,1,-333,+266
"Atlanta Hawks",2016,71,0,+266,-333
"Boston Celtics",2016,72,1,-278,+229
"Indiana Pacers",2016,71,0,+229,-278
"Orlando Magic",2016,72,0,+162,-192
"Charlotte Hornets",2016,71,1,-192,+162
"Los Angeles Lakers",2016,71,0,+408,-556
"Los Angeles Clippers",2016,72,1,-556,+408
"Portland Trail Blazers",2016,70,0,-172,+146
"Milwaukee Bucks",2016,70,1,+146,-172
"Minnesota Timberwolves",2016,70,0,+166,-196
"San Antonio Spurs",2016,70,1,-196,+166
"Dallas Mavericks",2016,70,0,+171,-204
"Golden State Warriors",2016,71,1,-204,+171
"New Orleans Pelicans",2016,71,1,-145,+123
"Memphis Grizzlies",2016,71,0,+123,-145
"Brooklyn Nets",2016,70,1,+189,-227
"Detroit Pistons",2016,71,0,-227,+189
"Miami Heat",2016,71,1,-833,+580
"Phoenix Suns",2016,71,0,+580,-833
"Toronto Raptors",2016,71,1,-323,+258
"Chicago Bulls",2016,71,0,+258,-323
"Los Angeles Clippers",2016,71,1,-625,+470
"New York Knicks",2016,70,0,+470,-625
"Houston Rockets",2016,71,1,-385,+300
"Denver Nuggets",2016,70,0,+300,-385
"Oklahoma City Thunder",2016,70,0,+104,-125
"Golden State Warriors",2016,70,1,-125,+104
"Boston Celtics",2016,71,1,-169,+146
"Washington Wizards",2016,70,0,+146,-169
"Charlotte Hornets",2016,70,1,-233,+195
"Atlanta Hawks",2016,70,0,+195,-233
"Indiana Pacers",2016,70,1,+108,-128
"Utah Jazz",2016,71,0,-128,+108
"Orlando Magic",2016,71,1,-250,+204
"Philadelphia 76ers",2016,70,0,+204,-250
"Los Angeles Lakers",2016,70,0,+596,-833
"Cleveland Cavaliers",2016,69,1,-833,+596
"San Antonio Spurs",2016,69,1,-1429,+956
"Sacramento Kings",2016,70,0,+956,-1429
"Miami Heat",2016,70,0,-238,+197
"Portland Trail Blazers",2016,69,1,+197,-238
"New Orleans Pelicans",2016,70,1,-164,+139
"Minnesota Timberwolves",2016,69,0,+139,-164
"Toronto Raptors",2016,70,1,-149,+125
"Indiana Pacers",2016,69,0,+125,-149
"Detroit Pistons",2016,70,1,-909,+632
"Phoenix Suns",2016,70,0,+632,-909
"Philadelphia 76ers",2016,69,1,+170,-204
"Boston Celtics",2016,70,0,-204,+170
"Brooklyn Nets",2016,69,0,+168,-200
"Dallas Mavericks",2016,69,1,-200,+168
"Golden State Warriors",2016,69,1,-667,+488
"Milwaukee Bucks",2016,69,0,+488,-667
"Denver Nuggets",2016,69,0,+110,-132
"Houston Rockets",2016,70,1,-132,+110
"Chicago Bulls",2016,70,1,+210,-256
"Utah Jazz",2016,70,0,-256,+210
"Memphis Grizzlies",2016,70,1,+145,-169
"San Antonio Spurs",2016,68,0,-169,+145
"Los Angeles Clippers",2016,70,1,-526,+216
"Cleveland Cavaliers",2016,68,0,+216,-526
"Charlotte Hornets",2016,69,1,-167,+143
"Washington Wizards",2016,69,0,+143,-167
"Atlanta Hawks",2016,69,0,-128,+108
"Portland Trail Blazers",2016,68,1,+108,-128
"Oklahoma City Thunder",2016,69,1,-1111,+703
"Sacramento Kings",2016,69,0,+703,-1111
"Los Angeles Lakers",2016,69,0,+273,-345
"Milwaukee Bucks",2016,68,1,-345,+273
"Phoenix Suns",2016,69,0,-132,+112
"Orlando Magic",2016,70,1,+112,-132
"Miami Heat",2016,69,1,-185,+156
"Minnesota Timberwolves",2016,68,0,+156,-185
"New Orleans Pelicans",2016,69,1,+215,-256
"Houston Rockets",2016,69,0,-256,+215
"Brooklyn Nets",2016,68,0,+321,-417
"Boston Celtics",2016,69,1,-417,+321
"Detroit Pistons",2016,69,0,-164,+139
"Toronto Raptors",2016,69,1,+139,-164
"Philadelphia 76ers",2016,68,1,+188,-227
"Dallas Mavericks",2016,68,0,-227,+188
"Washington Wizards",2016,68,1,-323,+260
"Chicago Bulls",2016,69,0,+260,-323
"Golden State Warriors",2016,68,1,-1429,+819
"Orlando Magic",2016,69,0,+819,-1429
"Denver Nuggets",2016,68,1,-213,+179
"Los Angeles Clippers",2016,69,0,+179,-213
"Atlanta Hawks",2016,68,0,-179,+150
"Memphis Grizzlies",2016,69,1,+150,-179
"New York Knicks",2016,69,0,-213,+177
"Brooklyn Nets",2016,67,1,+177,-213
"Cleveland Cavaliers",2016,67,1,-370,+295
"Utah Jazz",2016,69,0,+295,-370
"Toronto Raptors",2016,68,0,-139,+118
"Oklahoma City Thunder",2016,68,1,+118,-139
"Los Angeles Clippers",2016,68,0,-333,+268
"Milwaukee Bucks",2016,67,1,+268,-333
"Phoenix Suns",2016,68,0,-250,+206
"Sacramento Kings",2016,68,1,+206,-250
"San Antonio Spurs",2016,67,0,-714,+517
"Portland Trail Blazers",2016,67,1,+517,-714
"Chicago Bulls",2016,68,0,+112,-133
"Memphis Grizzlies",2016,68,1,-133,+112
"Houston Rockets",2016,68,1,-3333,+1503
"Los Angeles Lakers",2016,68,0,+1503,-3333
"Boston Celtics",2016,68,1,-244,+200
"Minnesota Timberwolves",2016,67,0,+200,-244
"Detroit Pistons",2016,68,0,+121,-143
"Utah Jazz",2016,68,1,-143,+121
"Miami Heat",2016,68,1,-250,+210
"New Orleans Pelicans",2016,68,0,+210,-250
"Indiana Pacers",2016,68,1,-147,+125
"Charlotte Hornets",2016,68,0,+125,-147
"Washington Wizards",2016,67,0,-345,+272
"Dallas Mavericks",2016,67,1,+272,-345
"Golden State Warriors",2016,67,1,-3333,+1476
"Philadelphia 76ers",2016,67,0,+1476,-3333
"New Orleans Pelicans",2016,67,1,-167,+141
"Portland Trail Blazers",2016,66,0,+141,-167
"Brooklyn Nets",2016,66,0,+216,-263
"Oklahoma City Thunder",2016,67,1,-263,+216
"New York Knicks",2016,68,1,+136,-161
"Indiana Pacers",2016,67,0,-161,+136
"Cleveland Cavaliers",2016,66,1,-345,+268
"Detroit Pistons",2016,67,0,+268,-345
"Denver Nuggets",2016,67,1,-1111,+719
"Los Angeles Lakers",2016,67,0,+719,-1111
"Sacramento Kings",2016,67,1,+108,-128
"Orlando Magic",2016,68,0,-128,+108
"Utah Jazz",2016,67,1,-122,+102
"Los Angeles Clippers",2016,67,0,+102,-122
"Memphis Grizzlies",2016,67,1,-172,+145
"Milwaukee Bucks",2016,66,0,+145,-172
"Minnesota Timberwolves",2016,66,1,-130,+110
"Washington Wizards",2016,66,0,+110,-130
"San Antonio Spurs",2016,66,1,-294,+239
"Atlanta Hawks",2016,67,0,+239,-294
"Toronto Raptors",2016,67,1,-200,+166
"Dallas Mavericks",2016,66,0,+166,-200
"Charlotte Hornets",2016,67,0,-303,+248
"Chicago Bulls",2016,67,1,+248,-303
"Los Angeles Lakers",2016,66,0,-192,+164
"Philadelphia 76ers",2016,66,1,+164,-192
"Houston Rockets",2016,67,1,-294,+239
"Cleveland Cavaliers",2016,65,0,+239,-294
"Phoenix Suns",2016,67,0,+114,-133
"Portland Trail Blazers",2016,65,1,-133,+114
"Brooklyn Nets",2016,65,1,-114,-105
"New York Knicks",2016,67,0,-105,-114
"Indiana Pacers",2016,66,1,-244,+200
"Miami Heat",2016,67,0,+200,-244
"Boston Celtics",2016,67,1,-333,+265
"Chicago Bulls",2016,66,0,+265,-333
"Sacramento Kings",2016,66,0,+174,-208
"Denver Nuggets",2016,66,1,-208,+174
"Portland Trail Blazers",2016,64,0,-185,+158
"Washington Wizards",2016,65,1,+158,-185
"Dallas Mavericks",2016,65,0,-233,+193
"Phoenix Suns",2016,66,1,+193,-233
"Memphis Grizzlies",2016,66,0,-263,+220
"Atlanta Hawks",2016,66,1,+220,-263
"San Antonio Spurs",2016,65,1,-625,+470
"Golden State Warriors",2016,66,0,+470,-625
"Miami Heat",2016,66,1,-244,+200
"Toronto Raptors",2016,66,0,+200,-244
"Milwaukee Bucks",2016,65,1,-152,+129
"Minnesota Timberwolves",2016,65,0,+129,-152
"Charlotte Hornets",2016,66,0,-167,+142
"New Orleans Pelicans",2016,66,1,+142,-167
"Orlando Magic",2016,67,0,+343,-455
"Cleveland Cavaliers",2016,64,1,-455,+343
"Detroit Pistons",2016,66,1,-263,+215
"New York Knicks",2016,66,0,+215,-263
"Los Angeles Clippers",2016,66,1,-1667,+980
"Philadelphia 76ers",2016,65,0,+980,-1667
"Oklahoma City Thunder",2016,66,1,-192,+162
"Utah Jazz",2016,66,0,+162,-192
"Sacramento Kings",2016,65,0,+305,-385
"Washington Wizards",2016,64,1,-385,+305
"Dallas Mavericks",2016,64,1,-588,+429
"Brooklyn Nets",2016,64,0,+429,-588
"Denver Nuggets",2016,65,1,+114,-137
"Boston Celtics",2016,66,0,-137,+114
"Atlanta Hawks",2016,65,1,-154,+129
"Toronto Raptors",2016,65,0,+129,-154
"Chicago Bulls",2016,65,0,+209,-256
"Houston Rockets",2016,66,1,-256,+209
"Milwaukee Bucks",2016,64,1,-123,+104
"Indiana Pacers",2016,65,0,+104,-123
"Minnesota Timberwolves",2016,64,1,+187,-227
"Golden State Warriors",2016,65,0,-227,+187
"Charlotte Hornets",2016,65,1,-455,+351
"Orlando Magic",2016,66,0,+351,-455
"Phoenix Suns",2016,65,0,-263,+215
"Los Angeles Lakers",2016,65,1,+215,-263
"Portland Trail Blazers",2016,63,1,-526,+386
"Philadelphia 76ers",2016,64,0,+386,-526
"Memphis Grizzlies",2016,65,0,-137,+116
"Los Angeles Clippers",2016,65,1,+116,-137
"Oklahoma City Thunder",2016,65,1,+124,-147
"San Antonio Spurs",2016,64,0,-147,+124
"Detroit Pistons",2016,65,1,+163,-196
"Cleveland Cavaliers",2016,63,0,-196,+163
"Golden State Warriors",2016,64,0,-370,+289
"Boston Celtics",2016,65,1,+289,-370
"Denver Nuggets",2016,64,0,+108,-127
"Washington Wizards",2016,63,1,-127,+108
"San Antonio Spurs",2016,63,1,-769,+549
"Sacramento Kings",2016,64,0,+549,-769
"Houston Rockets",2016,65,0,-417,+318
"Utah Jazz",2016,65,1,+318,-417
"Indiana Pacers",2016,64,1,-175,+148
"Detroit Pistons",2016,64,0,+148,-175
"Milwaukee Bucks",2016,63,1,-270,+222
"New York Knicks",2016,65,0,+222,-270
"Minnesota Timberwolves",2016,63,1,+143,-169
"Los Angeles Clippers",2016,64,0,-169,+143
"New Orleans Pelicans",2016,65,0,-154,+129
"Toronto Raptors",2016,64,1,+129,-154
"Atlanta Hawks",2016,64,1,-556,+413
"Brooklyn Nets",2016,63,0,+413,-556
"Miami Heat",2016,65,1,-175,+148
"Charlotte Hornets",2016,64,0,+148,-175
"Orlando Magic",2016,65,1,-106,-111
"Chicago Bulls",2016,64,0,-111,-106
"Phoenix Suns",2016,64,0,+187,-227
"Washington Wizards",2016,62,1,-227,+187
"Dallas Mavericks",2016,63,1,-455,+354
"Los Angeles Lakers",2016,64,0,+354,-455
"Oklahoma City Thunder",2016,64,0,-303,+243
"Portland Trail Blazers",2016,62,1,+243,-303
"Los Angeles Clippers",2016,63,1,-303,+248
"Boston Celtics",2016,64,0,+248,-303
"Denver Nuggets",2016,63,1,-667,+501
"Sacramento Kings",2016,63,0,+501,-667
"Utah Jazz",2016,64,1,-204,+173
"New Orleans Pelicans",2016,64,0,+173,-204
"San Antonio Spurs",2016,62,1,-167,+141
"Houston Rockets",2016,64,0,+141,-167
"Charlotte Hornets",2016,63,1,-179,+152
"Indiana Pacers",2016,63,0,+152,-179
"Memphis Grizzlies",2016,64,0,-714,+515
"Brooklyn Nets",2016,62,1,+515,-714
"Atlanta Hawks",2016,63,0,+192,-233
"Golden State Warriors",2016,63,1,-233,+192
